country_id,latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
IND,30.8641,75.8123,331.24,0.42,0.38,2026-09-10,0748,N,VIIRS,n,2.0NRT,289.51,11.62,D
IND,30.9182,75.7914,338.71,0.41,0.37,2026-09-10,0748,N,VIIRS,h,2.0NRT,292.14,18.35,D
IND,30.9473,75.9012,327.08,0.45,0.39,2026-09-10,0749,N,VIIRS,n,2.0NRT,288.02,8.94,D
IND,30.8317,75.9338,344.96,0.39,0.36,2026-09-10,0749,N,VIIRS,h,2.0NRT,295.33,24.71,D
IND,30.8854,75.7426,321.55,0.47,0.41,2026-09-10,0750,N,VIIRS,l,2.0NRT,286.77,4.18,D
IND,30.3612,76.3348,335.42,0.40,0.37,2026-09-10,0751,N,VIIRS,n,2.0NRT,290.88,14.07,D
IND,30.2984,76.4211,329.17,0.43,0.38,2026-09-10,0751,N,VIIRS,n,2.0NRT,289.26,10.53,D
IND,30.4067,76.3702,341.83,0.38,0.35,2026-09-10,0752,N,VIIRS,h,2.0NRT,293.71,21.46,D
IND,30.2731,76.3015,324.69,0.46,0.40,2026-09-10,0752,N,VIIRS,n,2.0NRT,287.94,7.32,D
IND,30.3455,76.4488,333.08,0.41,0.37,2026-09-11,0731,N,VIIRS,n,2.0NRT,291.02,12.88,D
IND,30.4128,75.5237,336.94,0.40,0.36,2026-09-10,0753,N,VIIRS,n,2.0NRT,291.47,15.24,D
IND,30.3376,75.6019,326.11,0.44,0.39,2026-09-10,0753,N,VIIRS,n,2.0NRT,288.63,9.07,D
IND,30.4392,75.4881,347.25,0.37,0.34,2026-09-11,0732,N,VIIRS,h,2.0NRT,296.18,28.33,D
IND,30.3608,75.5744,322.87,0.48,0.42,2026-09-11,0732,N,VIIRS,l,2.0NRT,286.05,3.61,D
IND,29.7124,76.9463,334.56,0.41,0.37,2026-09-10,0754,N,VIIRS,n,2.0NRT,290.35,13.79,D
IND,29.6487,77.0218,330.02,0.43,0.38,2026-09-10,0754,N,VIIRS,n,2.0NRT,289.71,11.05,D
IND,29.7381,76.9127,342.19,0.38,0.35,2026-09-11,0733,N,VIIRS,h,2.0NRT,294.06,22.58,D
IND,29.6612,77.0534,325.73,0.45,0.40,2026-09-11,0733,N,VIIRS,n,2.0NRT,287.48,8.16,D
IND,29.8246,76.3571,337.61,0.40,0.36,2026-09-10,0755,N,VIIRS,n,2.0NRT,292.29,16.42,D
IND,29.7758,76.4429,328.44,0.44,0.39,2026-09-11,0734,N,VIIRS,n,2.0NRT,288.87,9.93,D
IND,29.8593,76.3308,340.07,0.39,0.35,2026-09-11,0734,N,VIIRS,h,2.0NRT,293.44,19.87,D
IND,29.7915,76.4702,323.36,0.47,0.41,2026-09-11,0735,N,VIIRS,n,2.0NRT,287.12,6.74,D
